"DemoCount","DeveloperCount","DLCCount","Metacritic","MovieCount","PackageCount","PublisherCount","ScreenshotCount","SteamSpyOwners","SteamSpyPlayersEstimate","AchievementCount","AchievementHighlightedCount","ControllerSupport","IsFree","FreeVerAvail","PurchaseAvail","SubscriptionAvail","PlatformWindows","PlatformLinux","PlatformMac","PCReqsHaveMin","PCReqsHaveRec","LinuxReqsHaveMin","LinuxReqsHaveRec","MacReqsHaveMin","MacReqsHaveRec","CategorySinglePlayer","CategoryMultiplayer","CategoryCoop","CategoryMMO","CategoryInAppPurchase","CategoryIncludeSrcSDK","CategoryIncludeLevelEditor","CategoryVRSupport","GenreIsIndie","GenreIsAction","GenreIsAdventure","GenreIsCasual","GenreIsStrategy","GenreIsRPG","GenreIsSimulation","GenreIsEarlyAccess","GenreIsFreeToPlay","GenreIsSports","GenreIsRacing","GenreIsMassivelyMultiplayer","PriceInitial","PriceFinal","SupportEmail","SupportURL","AboutText","Background","ShortDescrip","DetailedDescrip","DRMNotice","ExtUserAcctNotice","LegalNotice","SupportedLanguages","Website","PCMinReqsText","PCRecReqsText","LinuxMinReqsText","LinuxRecReqsText","MacMinReqsText","MacRecReqsText","Recommendations","Disapproval","Reviews","Day","Month","Year","AgeRating","NoCategory"
0,1,1,95,17,3,1,12,0,0,51,10,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,19.99,19.99,1,0,0,0,0,0,1,1,1,28,0,0,1,0,1,0,1,153381,2059,155440,18,4,2011,4,0
0,1,0,83,8,1,1,15,25833156,25150372,167,10,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99,14.99,1,1,0,0,1,0,1,1,1,31,0,0,1,0,1,0,1,6814845,950526,7765371,21,8,2012,4,0
1,1,0,69,1,1,1,5,35332,12913,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,79,25,104,12,10,2005,4,0
0,1,0,81,6,2,1,37,940689,515451,44,10,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,1,0,0,1,0,1,1,1,3,0,0,0,0,0,0,1,2042,300,2342,14,3,2006,4,0
0,1,21,72,0,4,1,39,3496958,2989220,285,10,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99,19.99,1,0,0,0,0,0,1,1,0,12,0,0,0,0,0,0,1,61889,3277,65166,14,5,2009,4,0
0,1,0,75,1,1,1,5,219883,69767,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,1,0,0,1,0,1,1,1,3,0,0,1,1,1,1,1,891,107,998,10,5,2006,4,0
0,1,0,75,1,1,1,5,219883,10761,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,1,0,0,1,0,1,1,1,3,0,0,1,1,1,1,1,322,45,367,10,5,2006,4,0
0,1,0,75,1,1,1,5,219883,44658,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,1,0,0,1,0,1,1,1,3,0,0,1,1,1,1,1,272,53,325,10,5,2006,4,0
1,1,0,84,2,4,1,5,674354,214861,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99,1,1,0,0,1,0,1,1,1,2,0,0,1,0,1,0,1,806,207,1013,14,7,2005,4,0
0,1,0,75,1,2,1,4,728339,314938,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,2064,198,2262,23,8,2006,4,0
1,1,0,84,0,3,1,5,811736,451423,22,10,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99,1,0,0,0,1,0,1,1,1,5,0,0,1,0,1,0,1,3332,497,3829,29,9,2006,4,0
1,1,0,76,7,3,1,16,619832,139534,12,10,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,1,0,0,1,0,1,1,1,5,0,0,1,0,1,0,1,460,102,562,19,9,2008,4,0
0,1,0,82,1,2,1,8,53087,22957,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.99,14.99,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,272,78,350,7,2,2006,4,0
0,1,0,79,0,2,1,5,69946,31566,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,207,38,245,7,2,2006,4,0
0,1,0,0,0,1,1,5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.99,19.99,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,6,7,2006,4,0
0,1,0,80,0,1,1,13,106175,48783,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.49,6.49,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,995,154,1149,6,7,2006,4,0
0,1,0,84,0,1,1,4,113708,60800,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.49,6.49,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1087,230,1317,6,7,2006,4,0
0,1,0,56,0,1,1,5,43403,17218,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99,4.99,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,175,105,280,26,7,2006,4,0
0,1,0,68,0,2,1,5,69408,38740,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.99,14.99,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,298,120,418,16,10,2006,4,0
1,1,0,77,0,1,1,10,119806,57033,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.99,4.99,1,1,0,0,1,0,1,1,1,6,0,0,1,1,1,1,1,1615,231,1846,3,4,2007,4,0
0,1,0,73,3,1,2,9,236024,94876,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,1,0,0,1,0,6,0,0,0,0,0,1,1,922,388,1310,1,4,2006,4,0
0,1,1,65,1,2,1,16,942661,416629,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.99,9.99,1,0,0,0,1,0,1,1,0,8,0,0,0,0,0,0,0,4055,1272,5327,30,4,2009,4,0
1,1,0,72,4,1,1,6,966156,405509,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.99,9.99,1,1,0,0,1,0,1,1,1,5,0,0,1,1,1,1,1,8605,821,9426,25,10,2006,4,0
1,1,0,72,4,1,1,6,966336,190649,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.99,9.99,1,1,0,0,1,0,1,1,1,5,0,0,1,1,1,1,1,4769,355,5124,25,10,2006,4,0
1,1,0,0,0,2,1,5,319063,141686,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99,14.99,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,3167,149,3316,3,8,2007,4,0
